category;client_patch_prompt;compare_at_price;created_at;current_version;customisable_slots;description;features;id;is_active;is_default;is_premium;latest_changelog;lovable_project_url;name;preview_image;price;remix_url;theme_id;updated_at
handloom;"Apply theme Heritage Test (heritage indian craft, warm earthy tones). Palette: {""bg"":""#F5F5DC"",""accent"":""#CD853F"",""border"":""#D2B48C"",""surface"":""#FAEBD7"",""primary"":""#8B4513"",""muted"":""#A0522D"",""fg"":""#5A3B1B"",""primary_fg"":""#FFFFFF""}. Fonts: {""body"":""Lora"",""heading_weight"":700,""heading"":""Cormorant Garamond""}. Layout: {""product_style"":""cards_shadow"",""density"":""balanced"",""category_style"":""mosaic_2x2"",""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""story"",""testimonials"",""newsletter""],""header_style"":""bold_serif"",""hero_style"":""editorial_serif""}.";999;2026-05-17 16:56:10.387457+00;1.0.0;[];Where tradition meets timeless elegance.;{};79e714e9-9cd0-4b06-9ada-57ec07c4ba36;true;false;true;;/admin/themes/preview/theme-test-heritage-2;Heritage Test;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/1c84ae10-ea91-4de3-8022-a89564d68206.png;499;;theme-test-heritage-2;2026-05-20 18:58:19.265122+00
fashion;"Apply theme Ethnic (indian ethnic fashion, embroidery, premium feeling). Palette: {""muted"":""#6B5F5F"",""border"":""#D4C7B8"",""bg"":""#F5F2EC"",""fg"":""#3D2B2C"",""primary"":""#8C3B4C"",""primary_fg"":""#FFFFFF"",""surface"":""#FFFFFF"",""accent"":""#D4A76A""}. Fonts: {""body"":""Lato"",""heading_weight"":600,""heading"":""Cormorant Garamond""}. Layout: {""product_style"":""cards_shadow"",""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""story"",""testimonials"",""newsletter""],""header_style"":""bold_serif"",""category_style"":""mosaic_2x2"",""hero_style"":""asymmetric"",""density"":""balanced""}.";;2026-05-17 16:59:00.896335+00;1.0.0;[];Experience the Grandeur of Indian Ethnic Fashion;{};b3aad1e6-82dd-472f-8e00-099ac355156d;true;false;true;;/admin/themes/preview/theme-a0e7b3e3;Ethnic;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/ddba530a-f744-4d32-b1a6-808a16b3605a.png;999;;theme-a0e7b3e3;2026-05-20 18:58:19.265122+00
food;"Apply theme Cafe (Coffee, Sandwiches, full menu with ratings). Palette: {""accent"":""#9F7A2F"",""fg"":""#333333"",""surface"":""#FFFFFF"",""muted"":""#7C7C7C"",""primary"":""#4A2C2A"",""bg"":""#F5F0E6"",""primary_fg"":""#FFFFFF"",""border"":""#D4CFC6""}. Fonts: {""heading_weight"":700,""body"":""Lato"",""heading"":""Playfair Display""}. Layout: {""header_style"":""bold_serif"",""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""story"",""testimonials"",""newsletter""],""hero_style"":""editorial_serif"",""category_style"":""mosaic_2x2"",""product_style"":""cards_shadow"",""density"":""balanced""}.";999;2026-05-17 17:01:36.122585+00;1.0.0;[];Your daily dose of happiness;{};d225dae4-d91a-43a7-8f02-490d5c565b38;true;false;true;;/admin/themes/preview/theme-a84dbc22;Cafe;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/888fd243-7c82-4c38-a81d-b61cd6787188.png;499;;theme-a84dbc22;2026-05-20 18:58:19.265122+00
creative/tech;"Apply theme Electra (electronic gadgets, mobile and accessories.). Palette: {""primary"":""#007BFF"",""primary_fg"":""#FFFFFF"",""surface"":""#FFFFFF"",""accent"":""#00D4EE"",""border"":""#DEE2E6"",""muted"":""#6C757D"",""bg"":""#F5F7FA"",""fg"":""#333333""}. Fonts: {""heading"":""Montserrat"",""heading_weight"":700,""body"":""Open Sans""}. Layout: {""product_style"":""grid_clean"",""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""story"",""newsletter"",""testimonials""],""header_style"":""minimal_thin"",""hero_style"":""minimal_left"",""category_style"":""carousel_strip"",""density"":""balanced""}.";;2026-05-17 17:41:27.316839+00;1.0.0;[];Power Up Your Life;{};a5bf6296-b6ce-4da8-828c-2d7f8b11262c;true;false;false;;/admin/themes/preview/theme-e769c0b0;Electra;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/abf4643e-d7ef-4635-a98b-c32ad9302bb0.png;0;;theme-e769c0b0;2026-05-17 17:41:27.316839+00
luxury;"Apply theme Atelier (minimal luxury, monochrome, generous whitespace). Palette: {""muted"":""#8C8C8C"",""border"":""#E0E0E0"",""fg"":""#333333"",""surface"":""#FFFFFF"",""bg"":""#F5F5F5"",""accent"":""#B0B0B0"",""primary_fg"":""#FFFFFF"",""primary"":""#1A1A1A""}. Fonts: {""body"":""Lato"",""heading_weight"":400,""heading"":""Playfair Display""}. Layout: {""product_style"":""grid_minimal"",""category_style"":""mosaic_2x2"",""header_style"":""bold_serif"",""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""story"",""newsletter"",""testimonials""],""hero_style"":""minimal_left"",""density"":""airy""}.";;2026-05-17 23:16:55.645628+00;1.0.0;[];Curated essentials for the discerning individual.;{};2e770939-87e2-47b2-a9b8-59f200483407;true;false;false;;/admin/themes/preview/theme-777e65f2;Atelier;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/f78873ce-93c2-41e9-a9ff-532278c044c7.png;0;;theme-777e65f2;2026-05-17 23:16:55.645628+00
creative/tech;"Apply theme Bookworm (Book writer, with writer detail). Palette: {""surface"":""#E07A5F"",""border"":""#CCC5B9"",""bg"":""#F4F1DE"",""primary"":""#4A4E69"",""primary_fg"":""#FFFFFF"",""fg"":""#222222"",""accent"":""#9A8C98"",""muted"":""#888888""}. Fonts: {""heading_weight"":700,""body"":""Lora"",""heading"":""Playfair Display""}. Layout: {""density"":""balanced"",""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""story"",""newsletter"",""testimonials""],""product_style"":""editorial_list"",""category_style"":""mosaic_2x2"",""hero_style"":""minimal_left"",""header_style"":""bold_serif""}.";;2026-05-18 15:15:22.600617+00;1.0.0;[];Where Stories Unfold;{};cb6aef63-0f11-4cb3-9c0b-9f9c3bff9fd8;true;false;false;;/admin/themes/preview/theme-1408de39;Bookworm;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/68c6eea8-abfb-46ff-9f8a-4aa49cc68717.png;0;;theme-1408de39;2026-05-18 15:15:22.600617+00
religious/puja;"Apply theme Poojan (Indian, deep heart touch of puraan, religious places and theerth places of India). Palette: {""accent"":""#FFD700"",""fg"":""#5A2D0C"",""muted"":""#A9A9A9"",""bg"":""#F5F5DC"",""border"":""#D2B48C"",""primary_fg"":""#FFFFFF"",""surface"":""#FFFFFF"",""primary"":""#8B4513""}. Fonts: {""heading"":""Cinzel Decorative"",""body"":""PT Serif"",""heading_weight"":700}. Layout: {""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""story"",""testimonials"",""newsletter""],""header_style"":""bold_serif"",""density"":""balanced"",""product_style"":""cards_shadow"",""category_style"":""mosaic_2x2"",""hero_style"":""fullscreen_image""}.";;2026-05-19 11:34:41.686912+00;1.0.0;[];Bringing the sacred traditions of India to your home.;{};8edd0a6f-c726-4969-b46e-bce05e920615;true;false;true;;/admin/themes/preview/theme-f0b8797a;Poojan;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/c6cfb5f0-087d-40f2-af6f-f5bc3c890cf2.png;999;;theme-f0b8797a;2026-05-20 18:58:19.265122+00
books/fiction;"Apply theme Writer (A new writer with portfoliao, books in store coming soon etc.) using layout ""editorial-magazine"". Palette: {""surface"":""#FFFFFF"",""primary"":""#3A3B3C"",""accent"":""#9E7B6C"",""bg"":""#F5F5DC"",""muted"":""#8A8A8A"",""primary_fg"":""#E0E0DF"",""fg"":""#3A3B3C"",""border"":""#D3D3D3""}. Fonts: {""heading"":""Instrument Serif"",""body"":""Work Sans"",""heading_weight"":400}. Layout: {""hero_style"":""editorial_serif"",""category_style"":""big_feature"",""product_style"":""editorial_list"",""header_style"":""centered_logo"",""density"":""airy"",""section_order"":[""hero"",""story"",""category_grid"",""trending"",""testimonials"",""newsletter""]}.";999;2026-05-19 12:35:32.896412+00;1.0.0;[];Crafting Worlds, One Word at a Time;{};31e41704-39b2-4762-b16b-3b21e4f978c1;true;false;true;;/admin/themes/preview/theme-daafa4d6;Writer;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/bd4c1ef7-ff6e-412c-a826-f3ea7d8bbfe6.png;499;;theme-daafa4d6;2026-05-20 18:58:19.265122+00
food/tea-coffee;"Apply theme cafe mocha (coffee shop) using layout ""farmers-market"". Palette: {""muted"":""#8D7B73"",""fg"":""#4A3228"",""primary_fg"":""#F8F1EA"",""bg"":""#F8F1EA"",""surface"":""#FFFFFF"",""primary"":""#4A3228"",""accent"":""#9F6F5E"",""border"":""#D4C5BB""}. Fonts: {""body"":""Inter"",""heading"":""Lora"",""heading_weight"":700}. Layout: {""hero_style"":""split"",""category_style"":""circles"",""product_style"":""cards_shadow"",""header_style"":""classic"",""density"":""balanced"",""section_order"":[""hero"",""category_grid"",""trending"",""story"",""testimonials"",""newsletter""]}.";999;2026-05-19 16:02:45.951752+00;1.0.0;[];Your daily ritual, elevated.;{};8e9dc41f-b612-42ca-b6ec-9c8cd4fb0c65;true;false;true;;/admin/themes/preview/theme-ee4bd274;cafe mocha;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/ef72e79e-da09-4f4b-a7bb-55e34db7cfe7.png;499;;theme-ee4bd274;2026-05-20 18:58:19.265122+00
food/organic;"Apply theme Southern  (South Indian Food Restraunt, with banana leaves and in yellow and green colour) using layout ""farmers-market"". Palette: {""primary_fg"":""#FFFFFF"",""surface"":""#FFFFFF"",""muted"":""#757575"",""bg"":""#FFFDE7"",""accent"":""#FFC107"",""border"":""#E0E0E0"",""primary"":""#4CAF50"",""fg"":""#424242""}. Fonts: {""heading_weight"":700,""heading"":""Lora"",""body"":""Inter""}. Layout: {""hero_style"":""split"",""category_style"":""circles"",""product_style"":""cards_shadow"",""header_style"":""classic"",""density"":""balanced"",""section_order"":[""hero"",""category_grid"",""trending"",""story"",""testimonials"",""newsletter""]}.";999;2026-05-20 17:45:57.851979+00;1.0.0;[];Experience the Authentic Flavors of South India;{};68fc3ed6-51b0-4af4-a275-8d504fa5fa43;true;false;true;;/admin/themes/preview/theme-b2d6a77f;Southern;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/ed77234c-177b-49e6-8a7e-d5a1faa74bb5.png;499;;theme-b2d6a77f;2026-05-20 18:58:19.265122+00
